Track,Alternate take,Catalog,Recorded,1st BN Release,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigormortis (aka Riggormortes),FALSE,Blue Note LT-1058,1964,1980,ISSUED,Lee Morgan,Curtis Fuller,Jackie McLean,McCoy Tyner,Bob Cranshaw,Art Blakey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twilight Mist,FALSE,Blue Note LT-1058,1964,1980,ISSUED,Lee Morgan,Curtis Fuller,Jackie McLean,McCoy Tyner,Bob Cranshaw,Art Blakey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Natives Are Restless Tonight,FALSE,,1964,,REJECTED,Carmell Jones,Joe Henderson,Horace Silver,Teddy Smith,Roger Humphries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Que Pasa,FALSE,,1964,,REJECTED,Carmell Jones,Joe Henderson,Horace Silver,Teddy Smith,Roger Humphries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pretty Eyes,FALSE,,1964,,REJECTED,Carmell Jones,Joe Henderson,Horace Silver,Teddy Smith,Roger Humphries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Kicker,FALSE,,1964,,REJECTED,Carmell Jones,Joe Henderson,Horace Silver,Teddy Smith,Roger Humphries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'll Remember April,FALSE,,1964,,REJECTED,Carmell Jones,Joe Henderson,Horace Silver,Teddy Smith,Roger Humphries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Kicker,FALSE,,1964,,REJECTED,Carmell Jones,Joe Henderson,Horace Silver,Teddy Smith,Roger Humphries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pretty Eyes,FALSE,,1964,,REJECTED,Carmell Jones,Joe Henderson,Horace Silver,Teddy Smith,Roger Humphries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Que Pasa,FALSE,,1964,,REJECTED,Carmell Jones,Joe Henderson,Horace Silver,Teddy Smith,Roger Humphries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skinny Minnie,FALSE,,1964,,REJECTED,Carmell Jones,Joe Henderson,Horace Silver,Teddy Smith,Roger Humphries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexican Hip Dance,FALSE,,1964,,REJECTED,Carmell Jones,Joe Henderson,Horace Silver,Teddy Smith,Roger Humphries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Natives Are Restless Tonight,FALSE,,1964,,REJECTED,Carmell Jones,Joe Henderson,Horace Silver,Teddy Smith,Roger Humphries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Que Pasa,FALSE,,1964,,REJECTED,Carmell Jones,Joe Henderson,Horace Silver,Teddy Smith,Roger Humphries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Kicker,FALSE,,1964,,REJECTED,Carmell Jones,Joe Henderson,Horace Silver,Teddy Smith,Roger Humphries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexican Hip Dance,FALSE,,1964,,REJECTED,Carmell Jones,Joe Henderson,Horace Silver,Teddy Smith,Roger Humphries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Natives Are Restless Tonight,FALSE,,1964,,REJECTED,Carmell Jones,Joe Henderson,Horace Silver,Teddy Smith,Roger Humphries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skinny Minnie,FALSE,,1964,,REJECTED,Carmell Jones,Joe Henderson,Horace Silver,Teddy Smith,Roger Humphries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pretty Eyes,FALSE,,1964,,REJECTED,Carmell Jones,Joe Henderson,Horace Silver,Teddy Smith,Roger Humphries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Que Pasa,FALSE,,1964,,REJECTED,Carmell Jones,Joe Henderson,Horace Silver,Teddy Smith,Roger Humphries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexican Hip Dance,FALSE,,1964,,REJECTED,Carmell Jones,Joe Henderson,Horace Silver,Teddy Smith,Roger Humphries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Kicker,FALSE,,1964,,REJECTED,Carmell Jones,Joe Henderson,Horace Silver,Teddy Smith,Roger Humphries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pretty Eyes,FALSE,,1964,,REJECTED,Carmell Jones,Joe Henderson,Horace Silver,Teddy Smith,Roger Humphries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Natives Are Restless Tonight,FALSE,,1964,,REJECTED,Carmell Jones,Joe Henderson,Horace Silver,Teddy Smith,Roger Humphries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Que Pasa,FALSE,,1964,,REJECTED,Carmell Jones,Joe Henderson,Horace Silver,Teddy Smith,Roger Humphries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Kicker,FALSE,,1964,,REJECTED,Carmell Jones,Joe Henderson,Horace Silver,Teddy Smith,Roger Humphries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Natives Are Restless Tonight,FALSE,,1964,,REJECTED,Carmell Jones,Joe Henderson,Horace Silver,Teddy Smith,Roger Humphries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Que Pasa,FALSE,,1964,,REJECTED,Carmell Jones,Joe Henderson,Horace Silver,Teddy Smith,Roger Humphries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Kicker,FALSE,,1964,,REJECTED,Carmell Jones,Joe Henderson,Horace Silver,Teddy Smith,Roger Humphries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two Pieces Of One: Green,FALSE,Blue Note BLP 4180,1964,1964,ISSUED,Sam Rivers,Gary Peacock,Richard Davis,Anthony Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two Pieces Of One: Red,FALSE,Blue Note BLP 4180,1964,1964,ISSUED,Sam Rivers,Gary Peacock,Richard Davis,Anthony Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomorrow Afternoon,FALSE,Blue Note BLP 4180,1964,1964,ISSUED,Sam Rivers,Gary Peacock,Anthony Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barb's Song To The Wizard,FALSE,Blue Note BLP 4180,1964,1964,ISSUED,Herbie Hancock,Ron Carter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memory,FALSE,Blue Note BLP 4180,1964,1964,ISSUED,Bobby Hutcherson,Herbie Hancock,Anthony Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shirley,FALSE,Blue Note BLP 4234; LT-1075,1964,1980,ISSUED,Lee Morgan,Stanley Turrentine,McCoy Tyner,Bob Cranshaw,Elvin Jones,Ray Barretto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wahoo (as Stanley's Blues),FALSE,Blue Note LT-1075,1964,1980,ISSUED,Lee Morgan,Stanley Turrentine,McCoy Tyner,Bob Cranshaw,Elvin Jones,Ray Barretto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tacos,FALSE,Blue Note BLP 4234; LT-1075,1964,1980,ISSUED,Lee Morgan,Stanley Turrentine,McCoy Tyner,Bob Cranshaw,Elvin Jones,Ray Barretto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can't Buy Me Love,FALSE,Blue Note LT-1075,1964,1980,ISSUED,Lee Morgan,Stanley Turrentine,McCoy Tyner,Bob Cranshaw,Elvin Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Girl Is Just Enough Woman For Me,FALSE,Blue Note LT-1075,1964,1980,ISSUED,Stanley Turrentine,McCoy Tyner,Bob Cranshaw,Elvin Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plight,FALSE,,1964,,REJECTED,Charles Tolliver,Jackie McLean,Bobby Hutcherson,Cecil McBee,Steve Ellington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrong Handle,FALSE,,1964,,REJECTED,Charles Tolliver,Jackie McLean,Bobby Hutcherson,Cecil McBee,Steve Ellington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talkin' 'Bout J.C.,FALSE,Blue Note BLP 4183,1964,1965,ISSUED,Larry Young,Grant Green,Elvin Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People,FALSE,Blue Note BLP 4183,1964,1965,ISSUED,Larry Young,Grant Green,Elvin Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luny Tune,FALSE,Blue Note BLP 4183,1964,1965,ISSUED,Larry Young,Grant Green,Elvin Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'm An Old Cowhand,FALSE,Blue Note BLP 4183,1964,1965,ISSUED,Larry Young,Grant Green,Elvin Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You Don't Know What Love Is,FALSE,Blue Note BLP 4183,1964,1965,ISSUED,Larry Young,Grant Green,Elvin Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Fox,FALSE,Blue Note BLP 4181,1964,1965,ISSUED,Kenny Dorham,Joe Henderson,Tommy Flanagan,Richard Davis,Albert Heath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Night Watch,FALSE,Blue Note BLP 4181,1964,1965,ISSUED,Kenny Dorham,Joe Henderson,Tommy Flanagan,Richard Davis,Albert Heath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trompeta Toccata,FALSE,Blue Note BLP 4181,1964,1965,ISSUED,Kenny Dorham,Joe Henderson,Tommy Flanagan,Richard Davis,Albert Heath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mamacita,FALSE,Blue Note 45-1922; BLP 4181,1964,1964,ISSUED,Kenny Dorham,Joe Henderson,Tommy Flanagan,Richard Davis,Albert Heath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Action,FALSE,Blue Note BLP 4218,1964,1967,ISSUED,Charles Tolliver,Jackie McLean,Bobby Hutcherson,Cecil McBee,Billy Higgins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrong Handle,FALSE,Blue Note BLP 4218,1964,1967,ISSUED,Charles Tolliver,Jackie McLean,Bobby Hutcherson,Cecil McBee,Billy Higgins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Hear A Rhapsody,FALSE,Blue Note BLP 4218,1964,1967,ISSUED,Charles Tolliver,Jackie McLean,Bobby Hutcherson,Cecil McBee,Billy Higgins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plight,FALSE,Blue Note BLP 4218,1964,1967,ISSUED,Charles Tolliver,Jackie McLean,Bobby Hutcherson,Cecil McBee,Billy Higgins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hootnan,FALSE,Blue Note BLP 4218,1964,1967,ISSUED,Charles Tolliver,Jackie McLean,Bobby Hutcherson,Cecil McBee,Billy Higgins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blues For 007,FALSE,Blue Note BLP 4190,1964,1965,ISSUED,Conrad Lester,Freddie Roach,Calvin Newborn,Clarence Johnston,Marvin Robinson,Phyllis Smith,Willie Tate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Busted,FALSE,Blue Note BLP 4190,1964,1965,ISSUED,Conrad Lester,Freddie Roach,Calvin Newborn,Clarence Johnston,Marvin Robinson,Phyllis Smith,Willie Tate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loie,FALSE,Blue Note BLP 4190,1964,1965,ISSUED,Conrad Lester,Freddie Roach,Calvin Newborn,Clarence Johnston,Marvin Robinson,Phyllis Smith,Willie Tate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud 788,FALSE,Blue Note BLP 4190,1964,1965,ISSUED,Conrad Lester,Freddie Roach,Calvin Newborn,Clarence Johnston,Marvin Robinson,Phyllis Smith,Willie Tate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All That's Good,FALSE,Blue Note BLP 4190,1964,1965,ISSUED,Conrad Lester,Freddie Roach,Calvin Newborn,Clarence Johnston,Marvin Robinson,Phyllis Smith,Willie Tate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journeyman,FALSE,Blue Note BLP 4190,1964,1965,ISSUED,Conrad Lester,Freddie Roach,Calvin Newborn,Clarence Johnston,Marvin Robinson,Phyllis Smith,Willie Tate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Love, Your Spell Is Everywhere",FALSE,Blue Note (J) GXF-3057,1964,1979,ISSUED,Stanley Turrentine,Herbie Hancock,Kenny Burrell,Ben Tucker,Bill English,Ray Barretto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freedom,FALSE,Blue Note (J) GXF-3057,1964,1979,ISSUED,Stanley Turrentine,Herbie Hancock,Kenny Burrell,Ben Tucker,Bill English,Ray Barretto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lonesome Road,FALSE,Blue Note (J) GXF-3057,1964,1979,ISSUED,Stanley Turrentine,Herbie Hancock,Kenny Burrell,Ben Tucker,Bill English,Ray Barretto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G Minor Bash,FALSE,Blue Note (J) GXF-3057,1964,1979,ISSUED,Stanley Turrentine,Herbie Hancock,Kenny Burrell,Ben Tucker,Bill English,Ray Barretto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K Twist,FALSE,Blue Note (J) GXF-3057,1964,1979,ISSUED,Stanley Turrentine,Herbie Hancock,Kenny Burrell,Ben Tucker,Bill English,Ray Barretto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Kicker,FALSE,Blue Note BLP 4185,1964,1964,ISSUED,Carmell Jones,Joe Henderson,Horace Silver,Teddy Smith,Roger Humphries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Que Pasa,FALSE,Blue Note 45-1913; BLP 4185,1964,1965,ISSUED,Carmell Jones,Joe Henderson,Horace Silver,Teddy Smith,Roger Humphries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Natives Are Restless Tonight,FALSE,Blue Note BLP 4185,1964,1964,ISSUED,Carmell Jones,Joe Henderson,Horace Silver,Teddy Smith,Roger Humphries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song For My Father,FALSE,Blue Note 45-1912; BLP 4185; BST 89904; BST2 84429; BN-LA402-H2; (J) NP-9020C,1964,1965,ISSUED,Carmell Jones,Joe Henderson,Horace Silver,Teddy Smith,Roger Humphries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bamu Baamu L'ayo (I Have The Strength To Sing),FALSE,,1964,,UNISSUED,Donald Byrd,Hubert Laws,Bob Cranshaw,Elvin Jones,Chief Bey,Ladji Camara,Montego Joe,Sunny Morgan,Solomon Ilori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toni Omo Re (Loving Your Child),FALSE,,1964,,UNISSUED,Donald Byrd,Hubert Laws,Bob Cranshaw,Elvin Jones,Chief Bey,Ladji Camara,Montego Joe,Sunny Morgan,Solomon Ilori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agbamurero (Rhino),FALSE,,1964,,UNISSUED,Donald Byrd,Hubert Laws,Bob Cranshaw,Elvin Jones,Chief Bey,Ladji Camara,Montego Joe,Sunny Morgan,Solomon Ilori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gbogbo Omo Ibile (Going Home),FALSE,,1964,,UNISSUED,Donald Byrd,Hubert Laws,Bob Cranshaw,Elvin Jones,Chief Bey,Ladji Camara,Montego Joe,Sunny Morgan,Solomon Ilori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igbesi Aiye (Song Of Praise To God),FALSE,,1964,,UNISSUED,Donald Byrd,Hubert Laws,Bob Cranshaw,Elvin Jones,Chief Bey,Ladji Camara,Montego Joe,Sunny Morgan,Solomon Ilori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Witch Hunt,FALSE,,1964,1964,ISSUED,Freddie Hubbard,Wayne Shorter,Herbie Hancock,Ron Carter,Billy Higgins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dance Cadaverous,FALSE,,1964,1964,ISSUED,Freddie Hubbard,Wayne Shorter,Herbie Hancock,Ron Carter,Billy Higgins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speak No Evil,FALSE,,1964,1964,ISSUED,Freddie Hubbard,Wayne Shorter,Herbie Hancock,Ron Carter,Billy Higgins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amanda,FALSE,,1964,1964,ISSUED,Donald Byrd,James Spaulding,Joe Henderson,Duke Pearson,Bob Cranshaw,Otis Finch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.S.P. (Extrasensory Perception),FALSE,,1964,1964,ISSUED,Donald Byrd,James Spaulding,Joe Henderson,Duke Pearson,Bob Cranshaw,Otis Finch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fly, Little Bird, Fly",FALSE,,1964,1964,ISSUED,Donald Byrd,James Spaulding,Joe Henderson,Duke Pearson,Bob Cranshaw,Otis Finch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plaza De Toros,FALSE,Blue Note BLP 4187,1964,1965,ISSUED,Sam Rivers,Larry Young,Grant Green,Elvin Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrone,FALSE,Blue Note BLP 4187,1964,1965,ISSUED,Sam Rivers,Larry Young,Grant Green,Elvin Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backup,FALSE,Blue Note BLP 4187,1964,1965,ISSUED,Sam Rivers,Larry Young,Grant Green,Elvin Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paris Eyes,FALSE,Blue Note BLP 4187,1964,1965,ISSUED,Sam Rivers,Larry Young,Grant Green,Elvin Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritha (quartet version),FALSE,Blue Note CDP 7243 8 21734 2 7,1964,1998,ISSUED,Sam Rivers,Larry Young,Grant Green,Elvin Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritha,FALSE,Blue Note BLP 4187,1964,1965,ISSUED,Larry Young,Grant Green,Elvin Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lazy Afternoon,FALSE,Blue Note BLP 4253,1964,1967,ISSUED,Bobby Hutcherson,Larry Young,Grant Green,Elvin Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Wish You Love,FALSE,Blue Note BLP 4253,1964,1967,ISSUED,Bobby Hutcherson,Larry Young,Grant Green,Elvin Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somewhere In The Night,FALSE,Blue Note BLP 4253,1964,1967,ISSUED,Bobby Hutcherson,Larry Young,Grant Green,Elvin Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This Is All I Ask,FALSE,,1964,,REJECTED,Bobby Hutcherson,Larry Young,Grant Green,Elvin Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Of Dreams,FALSE,Blue Note BLP 4253,1964,1967,ISSUED,Bobby Hutcherson,Larry Young,Grant Green,Elvin Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Am So Excited By You,FALSE,Blue Note CDP 7243 8 59963 2 0,1964,1997,ISSUED,Donald Byrd,Jimmy Heath,McCoy Tyner,Walter Booker,Joe Chambers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gingerbread Boy,FALSE,Blue Note CDP 7243 8 59963 2 0,1964,1997,ISSUED,Donald Byrd,Jimmy Heath,McCoy Tyner,Walter Booker,Joe Chambers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amanda,FALSE,Blue Note BLP 4191,1964,1966,ISSUED,Donald Byrd,James Spaulding,Joe Henderson,Duke Pearson,Bob Cranshaw,Mickey Roker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.S.P. (Extrasensory Perception),FALSE,Blue Note BLP 4191,1964,1966,ISSUED,Donald Byrd,James Spaulding,Joe Henderson,Duke Pearson,Bob Cranshaw,Mickey Roker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedouin,FALSE,Blue Note BLP 4191,1964,1966,ISSUED,Donald Byrd,James Spaulding,Joe Henderson,Duke Pearson,Bob Cranshaw,Mickey Roker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wahoo,FALSE,Blue Note BLP 4191,1964,1966,ISSUED,Donald Byrd,James Spaulding,Joe Henderson,Duke Pearson,Bob Cranshaw,Mickey Roker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fly, Little Bird, Fly",FALSE,Blue Note BLP 4191,1964,1966,ISSUED,Donald Byrd,James Spaulding,Joe Henderson,Duke Pearson,Bob Cranshaw,Mickey Roker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farewell Machelle,FALSE,Blue Note BLP 4191,1964,1966,ISSUED,Duke Pearson,James Spaulding,Bob Cranshaw,Mickey Roker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Urge,FALSE,Blue Note BLP 4189,1964,1966,ISSUED,Joe Henderson,McCoy Tyner,Bob Cranshaw,Elvin Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You Know I Care,FALSE,Blue Note BLP 4189,1964,1966,ISSUED,Joe Henderson,McCoy Tyner,Bob Cranshaw,Elvin Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isotope,FALSE,Blue Note BLP 4189,1964,1966,ISSUED,Joe Henderson,McCoy Tyner,Bob Cranshaw,Elvin Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
