Track,Alternate take,Catalog,Recorded,1st BN Release,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port Of Harlem Blues,FALSE,Blue Note 14; BST 89902; Mosaic MR1-108,1939,1939,ISSUED,Frank Newton,J.C. Higginbotham,Albert Ammons,Teddy Bunn,Johnny Williams,Sidney Catlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Blues,FALSE,Blue Note 3; BLP 7022; B-6509; Mosaic MR1-108,1939,1939,ISSUED,Frank Newton,J.C. Higginbotham,Albert Ammons,Teddy Bunn,Johnny Williams,Sidney Catlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocking The Blues,FALSE,Blue Note 3; BLP 7022; B-6509; Mosaic MR1-108,1939,1939,ISSUED,Frank Newton,J.C. Higginbotham,Albert Ammons,Teddy Bunn,Johnny Williams,Sidney Catlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
After Hours Blues,FALSE,Blue Note 14; Mosaic MR1-108,1939,1939,ISSUED,Frank Newton,Meade 'Lux' Lewis,Teddy Bunn,Johnny Williams,Sidney Catlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basin Street Blues,FALSE,Blue Note 7; Mosaic MR1-108,1939,1939,ISSUED,J.C. Higginbotham,Meade 'Lux' Lewis,Teddy Bunn,Johnny Williams,Sidney Catlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blues For Tommy (Ladnier),FALSE,Blue Note 7; BLP 7003; BLP 1202; Mosaic MR1-108; MR6-110,1939,1939,ISSUED,Frank Newton,J.C. Higginbotham,Sidney Bechet,Meade 'Lux' Lewis,Teddy Bunn,Johnny Williams,Sidney Catlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summertime,FALSE,Blue Note 6; BLP 7002; BLP 1201; BST 89902; Mosaic MR1-108; MR6-110,1939,1939,ISSUED,Frank Newton,J.C. Higginbotham,Sidney Bechet,Meade 'Lux' Lewis,Teddy Bunn,Johnny Williams,Sidney Catlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pounding Heart Blues,FALSE,Blue Note 6; BLP 7003; BLP 1202; Mosaic MR1-108; MR6-110,1939,1939,ISSUED,Sidney Bechet,Meade 'Lux' Lewis,Teddy Bunn,Johnny Williams,Sidney Catlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Father's Getaway,FALSE,Blue Note 5; BST 89902; Mosaic MR1-119,1939,1939,ISSUED,Earl 'Fatha' Hines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reminiscing At Blue Note,FALSE,Blue Note 5; Mosaic MR1-119,1939,1939,ISSUED,Earl 'Fatha' Hines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vine St. Bustle,FALSE,Blue Note 11; BLP 7019; Mosaic MR1-119,1939,1939,ISSUED,Pete Johnson,Ulysses Livingston,Abe Bolar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some Day Blues,FALSE,,1939,,REJECTED,Pete Johnson,Ulysses Livingston,Abe Bolar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some Day Blues,FALSE,Blue Note 11; BLP 7019; Mosaic MR1-119,1939,1939,ISSUED,Pete Johnson,Ulysses Livingston,Abe Bolar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holler Stomp,FALSE,,1939,,REJECTED,Pete Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holler Stomp,FALSE,,1939,,REJECTED,Pete Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holler Stomp,FALSE,Blue Note 12; BLP 7019; Mosaic MR1-119,1939,1940,ISSUED,Pete Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrelhouse Breakdown,FALSE,Blue Note 10; BLP 7019; Mosaic MR1-119,1939,1939,ISSUED,Pete Johnson,Ulysses Livingston,Abe Bolar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas City Farewell,FALSE,Blue Note 10; BLP 7019; Mosaic MR1-119,1939,1939,ISSUED,Pete Johnson,Ulysses Livingston,Abe Bolar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You Don't Know My Mind,FALSE,,1939,,REJECTED,Pete Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You Don't Know My Mind,FALSE,Blue Note 12; BLP 7019; Mosaic MR1-119,1939,1940,ISSUED,Pete Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Careless Love (Blues),FALSE,Blue Note 23; Mosaic MR6-110,1940,1940,ISSUED,Sidney Bechet,Josh White,Wilson Ernest Myers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk Cow Blues,FALSE,Blue Note 23; BST 89902; Mosaic MR6-110,1940,1940,ISSUED,Sidney Bechet,Josh White,Wilson Ernest Myers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lonesome Blues,FALSE,Blue Note 13; BLP 7022; Mosaic MR6-110,1940,1940,ISSUED,Sidney Bechet,Teddy Bunn,George 'Pops' Foster,Sidney Catlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dear Old Southland,FALSE,Blue Note 13; BLP 7002; BLP 1201; Mosaic MR6-110,1940,1940,ISSUED,Sidney Bechet,Teddy Bunn,George 'Pops' Foster,Sidney Catlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bechet's Steady Rider,FALSE,Blue Note 502; BLP 7022; Mosaic MR6-110,1940,1940,ISSUED,Sidney Bechet,Teddy Bunn,George 'Pops' Foster,Sidney Catlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday Night Blues,FALSE,Blue Note 502; BLP 7022; Mosaic MR6-110,1940,1940,ISSUED,Sidney Bechet,Teddy Bunn,George 'Pops' Foster,Sidney Catlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King Porter Stomp,FALSE,Blue Note 503; Mosaic MR1-119,1940,1940,ISSUED,Teddy Bunn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor Blues,FALSE,Blue Note 503; Mosaic MR1-119,1940,1940,ISSUED,Teddy Bunn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blues Without Words (alternate take),TRUE,Mosaic MR1-119,1940,1987,ISSUED,Teddy Bunn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blues Without Words,FALSE,Blue Note 504; Mosaic MR1-119,1940,1940,ISSUED,Teddy Bunn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guitar In High,FALSE,Blue Note 504; Mosaic MR1-119,1940,1940,ISSUED,Teddy Bunn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honky Tonk Train Blues,FALSE,Blue Note 15; BLP 7018; BST 89902; Mosaic MR3-103,1940,1941,ISSUED,Meade 'Lux' Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bass On Top,FALSE,Blue Note 16; BLP 7018; Mosaic MR3-103,1940,1941,ISSUED,Meade 'Lux' Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Six Wheel Chaser,FALSE,Blue Note 16; BLP 7018; Mosaic MR3-103,1940,1941,ISSUED,Meade 'Lux' Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tell Your Story,FALSE,Blue Note 15; BLP 7018; Mosaic MR3-103,1940,1941,ISSUED,Meade 'Lux' Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tell Your Story No. 2,FALSE,Blue Note 22; Mosaic MR3-103,1940,1941,ISSUED,Meade 'Lux' Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamming In Four,FALSE,Blue Note 18; BLP 5026; B-6505; Mosaic MR6-109,1941,1941,ISSUED,Edmond Hall,Meade 'Lux' Lewis,Charlie Christian,Israel Crosby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edmond Hall Blues,FALSE,Blue Note 18; BLP 5026; B-6505; Mosaic MR6-109,1941,1941,ISSUED,Edmond Hall,Meade 'Lux' Lewis,Charlie Christian,Israel Crosby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profoundly Blue,FALSE,Blue Note 17; 45-1634; BLP 5001; B-6505; BST 89902; Mosaic MR6-109,1941,1941,ISSUED,Edmond Hall,Meade 'Lux' Lewis,Charlie Christian,Israel Crosby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
